Date,CPU Utilization,Total Power,CPU Power,GPU Power
2023-05-11 13:21:27,0.19766,11.88383,5.92383,5.96000
2023-05-11 13:21:28,0.19347,11.97719,5.86719,6.11000
2023-05-11 13:21:30,0.19079,11.48375,5.84375,5.64000
2023-05-11 13:21:31,0.20969,11.78633,5.98633,5.80000
2023-05-11 13:21:32,0.26515,12.16695,6.37695,5.79000
2023-05-11 13:21:33,0.21754,12.17688,6.54688,5.63000
2023-05-11 13:21:34,0.20296,11.97937,6.35938,5.62000
2023-05-11 13:21:35,0.18386,12.68250,7.06250,5.62000
2023-05-11 13:21:36,0.15602,12.06391,6.75391,5.31000
2023-05-11 13:21:37,0.16775,12.26078,6.80078,5.46000
2023-05-11 13:21:38,0.16604,12.37586,6.75586,5.62000
2023-05-11 13:21:39,0.18267,12.54969,6.92969,5.62000
2023-05-11 13:21:40,0.21691,12.12430,6.65430,5.47000
2023-05-11 13:21:41,0.22475,12.37742,6.10742,6.27000
2023-05-11 13:21:42,0.21692,11.69820,5.90820,5.79000
2023-05-11 13:21:43,0.22510,11.51101,6.04102,5.47000
2023-05-11 13:21:44,0.24184,11.81750,6.18750,5.63000
2023-05-11 13:21:45,0.22716,12.97820,5.90820,7.07000
2023-05-11 13:21:46,0.23710,11.90297,5.79297,6.11000
2023-05-11 13:21:47,0.22045,11.35852,5.72852,5.63000
2023-05-11 13:21:48,0.22974,11.25930,5.77930,5.48000
