Date,CPU Utilization,Total Power,CPU Power,GPU Power
2023-05-11 13:22:19,0.36181,13.97703,7.70703,6.27000
2023-05-11 13:22:20,0.46341,13.76430,7.65430,6.11000
2023-05-11 13:22:21,0.50422,14.03766,8.09766,5.94000
2023-05-11 13:22:22,0.32775,12.74523,7.11523,5.63000
2023-05-11 13:22:23,0.25141,13.56359,7.93359,5.63000
2023-05-11 13:22:24,0.38955,14.42078,8.80078,5.62000
2023-05-11 13:22:25,0.30678,14.20430,8.40430,5.80000
2023-05-11 13:22:26,0.32493,14.23719,8.61719,5.62000
2023-05-11 13:22:27,0.25000,13.93055,8.31055,5.62000
2023-05-11 13:22:28,0.42101,14.30555,8.68555,5.62000
2023-05-11 13:22:29,0.58804,14.32125,8.53125,5.79000
2023-05-11 13:22:30,0.61824,14.57867,8.63867,5.94000
2023-05-11 13:22:31,0.76243,14.55742,8.60742,5.95000
2023-05-11 13:22:32,0.72673,14.05367,8.26367,5.79000
2023-05-11 13:22:33,0.48574,13.59016,7.16016,6.43000
0
