Date,CPU Utilization,Total Power,CPU Power,GPU Power
2023-05-11 13:24:01,0.14334,12.18258,6.39258,5.79000
2023-05-11 13:24:02,0.14824,12.31148,6.52148,5.79000
2023-05-11 13:24:03,0.27121,13.69992,7.91992,5.78000
2023-05-11 13:24:04,0.16975,12.63570,6.84570,5.79000
2023-05-11 13:24:05,0.13629,12.30094,6.21094,6.09000
2023-05-11 13:24:06,0.13473,11.70797,5.91797,5.79000
2023-05-11 13:24:07,0.17962,13.07102,7.29102,5.78000
2023-05-11 13:24:08,0.17890,12.91695,7.12695,5.79000
2023-05-11 13:24:09,0.13127,11.80406,6.16406,5.64000
2023-05-11 13:24:11,0.12134,11.67500,5.87500,5.80000
2023-05-11 13:24:12,0.13250,11.86445,6.06445,5.80000
