Date,CPU Utilization,Total Power,CPU Power,GPU Power
2023-05-11 13:24:02,0.14190,12.11227,6.32227,5.79000
2023-05-11 13:24:03,0.14501,12.15734,6.52734,5.63000
2023-05-11 13:24:04,0.28678,14.05000,8.25000,5.80000
2023-05-11 13:24:05,0.15940,12.45211,6.66211,5.79000
2023-05-11 13:24:06,0.14526,12.11836,6.31836,5.80000
2023-05-11 13:24:07,0.14393,11.92453,6.14453,5.78000
2023-05-11 13:24:08,0.18082,13.88836,7.31836,6.57000
2023-05-11 13:24:09,0.16555,12.98328,6.86328,6.12000
2023-05-11 13:24:10,0.12552,12.14148,6.02148,6.12000
2023-05-11 13:24:11,0.12060,11.68086,5.88086,5.80000
2023-05-11 13:24:12,0.13549,11.75484,5.96484,5.79000
