Date,CPU Utilization,Total Power,CPU Power,GPU Power
2023-05-11 13:23:21,0.28764,12.64164,6.68164,5.96000
2023-05-11 13:23:22,0.14178,12.41672,6.13672,6.28000
2023-05-11 13:23:23,0.10553,12.24258,5.64258,6.60000
2023-05-11 13:23:24,0.11167,11.76680,5.96680,5.80000
2023-05-11 13:23:25,0.12060,11.85055,6.06055,5.79000
2023-05-11 13:23:26,0.14214,12.45836,6.81836,5.64000
2023-05-11 13:23:27,0.11642,12.04805,6.24805,5.80000
2023-05-11 13:23:28,0.10562,11.73899,5.45898,6.28000
2023-05-11 13:23:29,0.14154,12.07117,5.95117,6.12000
2023-05-11 13:23:30,0.10851,12.38695,5.62695,6.76000
2023-05-11 13:23:31,0.11130,11.44430,5.65430,5.79000
2023-05-11 13:23:32,0.14155,12.01680,6.21680,5.80000
2023-05-11 13:23:33,0.10972,11.87406,5.91406,5.96000
2023-05-11 13:23:34,0.15199,12.06930,6.27930,5.79000
2023-05-11 13:23:35,0.18144,12.89703,6.95703,5.94000
2023-05-11 13:23:36,0.12205,12.48523,6.36523,6.12000
2023-05-11 13:23:37,0.11333,11.45641,5.81641,5.64000
2023-05-11 13:23:38,0.11307,11.66523,5.86523,5.80000
2023-05-11 13:23:39,0.12386,12.11195,6.00195,6.11000
2023-05-11 13:23:40,0.10720,11.57539,5.77539,5.80000
2023-05-11 13:23:41,0.11195,11.55172,5.76172,5.79000
2023-05-11 13:23:43,0.11158,11.66523,5.86523,5.80000
2023-05-11 13:23:44,0.11083,11.62406,5.66406,5.96000
2023-05-11 13:23:45,0.33502,12.87047,7.23047,5.64000
2023-05-11 13:23:46,0.24768,13.65914,7.86914,5.79000
2023-05-11 13:23:47,0.31943,14.64539,9.02539,5.62000
2023-05-11 13:23:48,0.19798,13.67688,8.04688,5.63000
2023-05-11 13:23:49,0.21972,16.16625,7.65625,8.51000
2023-05-11 13:23:50,0.15042,12.84445,6.56445,6.28000
2023-05-11 13:23:51,0.12930,12.19453,6.39453,5.80000
2023-05-11 13:23:52,0.12982,11.75313,5.95313,5.80000
2023-05-11 13:23:53,0.13065,12.09492,6.29492,5.80000
2023-05-11 13:23:54,0.16737,12.59102,6.79102,5.80000
2023-05-11 13:23:55,0.16569,12.60445,6.81445,5.79000
11M	data
4
