Date,CPU Utilization,Total Power,CPU Power,GPU Power
2023-05-11 13:22:05,0.32720,12.69055,7.06055,5.63000
2023-05-11 13:22:06,0.34060,12.63211,7.16211,5.47000
2023-05-11 13:22:07,0.34950,12.87023,7.24023,5.63000
2023-05-11 13:22:09,0.23386,12.86805,7.24805,5.62000
2023-05-11 13:22:10,0.43288,15.40063,9.14063,6.26000
2023-05-11 13:22:11,0.31541,14.31539,8.52539,5.79000
2023-05-11 13:22:12,0.18820,12.38367,6.76367,5.62000
2023-05-11 13:22:13,0.18301,12.53055,7.06055,5.47000
2023-05-11 13:22:14,0.24730,13.01477,7.38477,5.63000
2023-05-11 13:22:15,0.36165,12.77844,7.14844,5.63000
2023-05-11 13:22:16,0.40369,12.50891,6.87891,5.63000
2023-05-11 13:22:17,0.41423,12.82711,7.03711,5.79000
2023-05-11 13:22:18,0.28825,12.83727,7.19727,5.64000
