Date,CPU Utilization,Total Power,CPU Power,GPU Power
2023-05-11 13:21:50,0.30530,12.59695,7.12695,5.47000
2023-05-11 13:21:51,0.28787,12.35055,6.56055,5.79000
2023-05-11 13:21:52,0.31886,12.99719,7.36719,5.63000
2023-05-11 13:21:53,0.30614,12.95227,7.32227,5.63000
2023-05-11 13:21:54,0.18727,12.81555,7.18555,5.63000
2023-05-11 13:21:55,0.17697,12.59484,6.96484,5.63000
2023-05-11 13:21:56,0.18999,12.63016,7.16016,5.47000
2023-05-11 13:21:57,0.20055,12.49930,7.02930,5.47000
2023-05-11 13:21:58,0.18293,13.31469,7.05469,6.26000
2023-05-11 13:21:59,0.26889,13.31695,7.37695,5.94000
2023-05-11 13:22:00,0.32316,12.90891,7.12891,5.78000
2023-05-11 13:22:01,0.31486,12.25891,6.62891,5.63000
2023-05-11 13:22:02,0.32272,12.06359,6.43359,5.63000
2023-05-11 13:22:03,0.31376,12.62023,6.99023,5.63000
